Authorities,Postcode
2,AB11 5QH
2,AB12 3GQ
2,AB12 3LP
2,AB12 3TP
2,AB12 5YL
2,AB14 0LT
2,AB14 0NB
2,AB15 8QS
2,AB15 8RN
2,AB15 8RQ
2,AB21 0TA
2,AB21 0TB
2,AB21 0TD
2,AB21 7AQ
2,AB23 8BS
2,AB23 8UT
2,AB31 5AD
2,AB31 5AS
2,AB31 5ET
2,AB32 6SQ
2,AB32 6XA
2,AB36 8YP
2,AB45 2XR
2,AB54 4YU
2,AB54 7LQ
2,AB54 7LR
2,AB54 7NH
2,AB54 7NN
2,AB54 7NS
2,AB54 7UL
2,AB54 7UN
2,AB54 7XJ
2,AL3 7AW
2,AL3 7DH
2,AL3 8EX
2,AL4 0NJ
2,AL4 0NZ
2,AL4 0PG
2,AL4 0QR
2,AL4 0QS
2,AL4 8LA
2,AL4 8LL
2,AL6 0AB
2,AL6 0PG
2,AL6 0QA
2,AL6 9BY
2,AL6 9NF
2,AL6 9NS
2,AL6 9SG
2,AL6 9SQ
2,AL6 9SU
2,AL6 9SY
2,AL6 9TA
2,AL6 9TT
2,AL6 9TU
2,AL6 9TY
2,AL9 6HN
2,B14 4PP
2,B14 5QN
2,B16 0NU
2,B16 0PB
2,B16 0PF
2,B17 8ED
2,B17 8EE
2,B18 4JW
2,B27 6PA
2,B31 4UB
2,B34 7BS
2,B34 7HR
2,B36 0JE
2,B36 9AD
2,B37 5AS
2,B37 5AT
2,B37 5AU
2,B37 5ET
2,B37 6NF
2,B37 6PB
2,B38 0AD
2,B38 0AE
2,B38 0AG
2,B38 0BL
2,B38 0HH
2,B38 9EN
2,B42 1EA
2,B43 7BA
2,B43 7BD
2,B45 8UU
2,B45 9BU
2,B45 9LB
2,B45 9RR
2,B50 4PD
2,B60 4AZ
2,B60 4BA
2,B60 4BB
2,B60 4DA
2,B60 4ED
2,B60 4HH
2,B60 4HT
2,B60 4HX
2,B61 9EG
2,B61 9EU
2,B62 0HJ
2,B62 0NW
2,B62 8AT
2,B62 8TD
2,B63 1EQ
2,B63 1ES
2,B64 5QY
2,B65 0HF
2,B65 0LJ
2,B74 3EW
2,B74 4HH
2,B74 4HJ
2,B74 4HL
2,B74 4HN
2,B74 4HP
2,B74 4HS
2,B75 5SA
2,B75 7HY
2,B76 9BG
2,B76 9PG
2,B76 9PH
2,B77 1QL
2,B77 1QN
2,B77 1QP
2,B77 1QR
2,B77 5PS
2,B78 2ES
2,B79 0BT
2,B79 0BX
2,B79 9AA
2,B80 7DG
2,B80 7HD
2,B90 1NG
2,B90 3PP
2,B92 7PL
2,B92 7PW
2,B92 8JT
2,B92 9BA
2,B93 0BB
2,B93 0BL
2,B93 0BN
2,B93 0BP
2,B93 0EB
2,B93 8PW
2,B94 5JP
2,B94 5NH
2,B94 5NJ
2,B94 5NR
2,B94 5PB
2,B94 6AB
2,B94 6BP
2,B94 6BX
2,B94 6QY
2,B94 6RR
2,B94 6RW
2,B96 6EP
2,B96 6LP
2,B96 6QS
2,B96 6RN
2,B96 6RW
2,B96 6SW
2,B97 5PB
2,B97 5PH
2,B97 5TD
2,B97 6RG
2,B98 9AD
2,B98 9BD
2,B98 9BE
2,B98 9BJ
2,B98 9EX
2,BA1 8HG
2,BA1 9DE
2,BA10 0JS
2,BA10 0JW
2,BA11 5EY
2,BA12 6NE
2,BA13 4AP
2,BA15 2BA
2,BA15 2JF
2,BA16 9RJ
2,BA2 7BL
2,BA2 7DE
2,BA2 7DF
